nbVert	naive	opti
5000	0.05	0.05
6000	0.06	0.05
7000	0.07	0.06
8000	0.10	0.10
9000	0.12	0.11
10000	0.15	0.15
11000	0.17	0.18
12000	0.20	0.21
13000	0.23	0.28
14000	0.26	0.32
15000	0.33	0.43
16000	0.36	0.47
17000	0.39	0.53
18000	0.44	0.60
19000	0.47	0.66
20000	0.57	0.85
21000	0.63	0.96
22000	0.65	0.99
23000	0.69	1.06
24000	0.77	1.23
25000	0.83	1.33
26000	0.87	1.41
27000	0.95	1.59
28000	1.04	1.74
29000	1.11	1.86
30000	1.18	2.03
31000	1.22	2.10
32000	1.32	2.33
33000	1.40	2.46
34000	1.44	2.55
35000	1.59	2.81
36000	1.64	2.97
37000	1.71	3.11
38000	1.84	3.37
39000	1.88	3.39
40000	2.03	3.73
41000	2.13	3.94
42000	2.25	4.17
43000	2.37	4.42
44000	2.43	4.46
45000	2.57	4.73
46000	2.67	5.05
47000	2.82	5.33
48000	2.93	5.55
49000	2.99	5.63
50000	3.15	5.88
